iter	RMSE
172	0.1220149301
173	0.1219436917
174	0.1219324429
175	0.1219055861
176	0.1218913004
177	0.1218673414
178	0.1218028807
179	0.1217789661
180	0.1217689149
181	0.1217620612
182	0.1217396808
183	0.1216894158
184	0.1216648602
185	0.1216463182
186	0.1216108338
187	0.1215575241
188	0.1215173721
189	0.1215140937
190	0.1214883869
191	0.1214620921
192	0.1214316532
193	0.1213997686
194	0.121380404
195	0.1213280874
196	0.1213075609
197	0.1212912325
198	0.1212657768
199	0.1212289594
200	0.1212080112
201	0.1211807512
202	0.1211712021
203	0.1211232192
204	0.1210533815
205	0.1210276087
206	0.1210178761
207	0.1209843344
208	0.1209707921
209	0.1209472154
210	0.12089047
211	0.1208846063
212	0.1208718345
213	0.1208381738
214	0.1208329772
215	0.1208141184
216	0.1208015614
217	0.1207837901
218	0.1207555467
219	0.1206958014
220	0.120666929
221	0.1206469048
222	0.1206330244
223	0.1206145468
224	0.1205739024
225	0.1205649438
226	0.1205543099
227	0.1205346855
228	0.1205298641
229	0.1205248134
230	0.120512481
231	0.1205073132
232	0.1204885184
233	0.1204790693
234	0.1204549905
235	0.1204428037
236	0.120427942
237	0.1204249753
238	0.1203736281
239	0.1203606004
240	0.1203383324
241	0.1203274129
242	0.1203211035
243	0.120302191
244	0.1202897144
245	0.1202858034
246	0.1202682016
247	0.1202561096
248	0.1202477426
249	0.1202317245
250	0.1202162978
251	0.1202034692
252	0.1201763816
253	0.1201552856
254	0.1201180523
255	0.1201083241
256	0.1200859063
257	0.1200803372
258	0.120058973
259	0.1200494097
260	0.1200216969
261	0.120005075
262	0.1199906951
263	0.1199733175
264	0.1199440354
265	0.1199372789
266	0.119918425
267	0.1199071397
268	0.1198841927
269	0.1198690165
270	0.1198504987
271	0.1198424028
272	0.1198220555
273	0.119814881
274	0.1197998021
275	0.1197782132
276	0.1197630504
277	0.1197494552
278	0.1197378208
279	0.1197331563
280	0.119694523
281	0.1196831289
282	0.1196647044
283	0.1196500347
284	0.1196299852
285	0.1196221677
286	0.1196047302
287	0.1195867182
288	0.1195652721
289	0.1195596456
290	0.119545763
291	0.1195287951
292	0.119500867
293	0.1194878161
294	0.1194640073
295	0.1194468452
296	0.1194245257
297	0.1193887357
298	0.1193698387
299	0.1193540617
300	0.1193369886
301	0.1193289518
302	0.1192875408
303	0.1192752372
304	0.11925902
305	0.1192290778
306	0.1192041869
307	0.1191842164
308	0.1191651801
309	0.1191383356
310	0.1191138174
311	0.1191035568
312	0.1190825851
313	0.119074929
314	0.1190619425
315	0.1190369982
316	0.119016187
317	0.118999217
318	0.118982954
319	0.1189789585
320	0.1189679497
321	0.1189584877
322	0.118945803
323	0.118935047
324	0.1189209331
325	0.1189082434
326	0.1188981676
327	0.1188863039
328	0.1188729409
329	0.118858373
330	0.1188478294
331	0.1188261944
332	0.1188084444
333	0.1187890889
334	0.1187822907
335	0.1187623294
336	0.1187438484
337	0.1187260503
338	0.118706374
339	0.1186998648
340	0.1186899096
341	0.1186778618
342	0.1186686601
343	0.1186500423
344	0.1186421401
345	0.1186224451
346	0.1186133028
347	0.1185949191
348	0.1185793556
349	0.1185577993
350	0.1185461389
351	0.1185321149
352	0.1185260744
353	0.1185152998
354	0.1185067943
355	0.1185028563
356	0.1184909726
357	0.1184767965
358	0.1184687994
359	0.11846011
360	0.1184486796
361	0.1184270398
362	0.1184116758
363	0.1183989996
364	0.1183795693
365	0.118363093
366	0.1183555161
367	0.1183420717
368	0.118326806
369	0.1183159393
370	0.118303308
371	0.1182954251
372	0.1182825005
373	0.1182785218
374	0.1182596591
375	0.1182368596
376	0.118230532
377	0.1182180871
378	0.1181980927
379	0.1181878859
380	0.1181753337
381	0.1181669915
382	0.1181601065
383	0.1181564995
384	0.118147007
385	0.1181384375
386	0.1181227066
387	0.1181048384
388	0.1180920679
389	0.1180836177
390	0.1180731488
391	0.1180630592
392	0.1180448271
393	0.1180389847
394	0.1180271438
395	0.1180186805
396	0.1180129197
397	0.117996927
398	0.1179800191
399	0.1179623359
